Total Write,Term,Node 1 Write,Node 2 Write,Node 3 Write,Node 4 Write,Node 5 Write,Node 6 Write,Node 7 Write,Node 8 Write,Node 1 Remain Percent,Node 2 Remain Percent,Node 3 Remain Percent,Node 4 Remain Percent,Node 5 Remain Percent,Node 6 Remain Percent,Node 7 Remain Percent,Node 8 Remain Percent,variance
113574823809,1,16312995348,17365064935,17116463255,17588833470,17085538753,9649338673,9281147490,9175441885,0.01631300,0.01736506,0.01711646,0.01758883,0.01708554,0.01929868,0.01856229,0.01835088,0.0000009269
114332338425,1,16437774900,17446059950,17245946071,17674851867,17201579927,9731913944,9349125332,9245086434,0.01643777,0.01744606,0.01724595,0.01767485,0.01720158,0.01946383,0.01869825,0.01849017,0.0000009578
116012793528,1,16675832407,17714558595,17497206119,17958214199,17444888641,9854461178,9497135488,9370496901,0.01667583,0.01771456,0.01749721,0.01795821,0.01744489,0.01970892,0.01899427,0.01874099,0.0000009697
117378918570,1,16871272532,17921855626,17736944475,18140640136,17639638225,9982645436,9610628327,9475293813,0.01687127,0.01792186,0.01773694,0.01814064,0.01763964,0.01996529,0.01922126,0.01895059,0.0000010011
117962490711,1,16951245834,18022731533,17827183163,18230287438,17720446146,10037395850,9655343399,9517857348,0.01695125,0.01802273,0.01782718,0.01823029,0.01772045,0.02007479,0.01931069,0.01903571,0.0000010140
118216128087,1,16995828442,18067277325,17868582188,18264851597,17749028754,10061395850,9671306583,9537857348,0.01699583,0.01806728,0.01786858,0.01826485,0.01774903,0.02012279,0.01934261,0.01907571,0.0000010157
119379341247,1,17176384976,18244512127,18019193044,18427844350,17920174452,10162965200,9765548612,9662718486,0.01717638,0.01824451,0.01801919,0.01842784,0.01792017,0.02032593,0.01953110,0.01932544,0.0000010501
121352221275,1,17471452181,18526170049,18309143319,18764954220,18238117434,10318909995,9915906786,9807567291,0.01747145,0.01852617,0.01830914,0.01876495,0.01823812,0.02063782,0.01983181,0.01961513,0.0000010544
122124440436,1,17578940997,18640710834,18401109233,18886963725,18353326671,10403573863,10001740720,9858074393,0.01757894,0.01864071,0.01840111,0.01888696,0.01835333,0.02080715,0.02000348,0.01971615,0.0000011007
123042949776,1,17672101728,18773870297,18515324824,19067845991,18529997680,10501523372,10060179567,9922106317,0.01767210,0.01877387,0.01851532,0.01906785,0.01853000,0.02100305,0.02012036,0.01984421,0.0000011377
123447800625,1,17744915765,18847376649,18573170290,19105678439,18598038772,10518288773,10100847948,9959483989,0.01774492,0.01884738,0.01857317,0.01910568,0.01859804,0.02103658,0.02020170,0.01991897,0.0000011252
124680771546,1,17932547207,19024217904,18807202803,19279651769,18778162953,10616340010,10201912104,10040736796,0.01793255,0.01902422,0.01880720,0.01927965,0.01877816,0.02123268,0.02040382,0.02008147,0.0000011234
125988252696,1,18130650119,19202680858,19004412743,19485974061,18972024345,10750433924,10316127471,10125949175,0.01813065,0.01920268,0.01900441,0.01948597,0.01897202,0.02150087,0.02063225,0.02025190,0.0000011664
127696710426,1,18362283341,19474585317,19243351592,19757263225,19235742514,10954341823,10433544133,10235598481,0.01836228,0.01947459,0.01924335,0.01975726,0.01923574,0.02190868,0.02086709,0.02047120,0.0000012476
130180878936,1,18733729929,19860429388,19592702158,20149638818,19619552551,11149257030,10651062523,10424506539,0.01873373,0.01986043,0.01959270,0.02014964,0.01961955,0.02229851,0.02130213,0.02084901,0.0000012760
132176077452,1,18987611494,20224583654,19898090986,20473834238,19893883155,11303375237,10833561840,10561136848,0.01898761,0.02022458,0.01989809,0.02047383,0.01989388,0.02260675,0.02166712,0.02112227,0.0000013123
134403195981,1,19328093728,20550211555,20235962641,20795427530,20212377528,11515124688,11012961639,10753036672,0.01932809,0.02055021,0.02023596,0.02079543,0.02021238,0.02303025,0.02202592,0.02150607,0.0000013802
134699302995,1,19375772797,20601976070,20274301191,20839342084,20263698163,11535124688,11034114578,10774973424,0.01937577,0.02060198,0.02027430,0.02083934,0.02026370,0.02307025,0.02206823,0.02154995,0.0000013743
134875619466,1,19402544954,20628415946,20297682827,20883674365,20291698163,11545564564,11047341030,10778697617,0.01940254,0.02062842,0.02029768,0.02088367,0.02029170,0.02309113,0.02209468,0.02155740,0.0000013675
136279477752,1,19631578585,20827945170,20525153414,21091335315,20511403379,11658043159,11139046914,10894971816,0.01963158,0.02082795,0.02052515,0.02109134,0.02051140,0.02331609,0.02227809,0.02178994,0.0000013587
